country,fixed_broadband_subs_i4213tfbb,fixed_broadband_subs_i992b,fixed_broad_price_i154_FBB_ts$,fixed_broad_price_i154_FBB_ts_GNI,fixed_broad_price_i154_FBB_ts_PPP,internet_users_pct_i99H,int_bandwidth_i4214,int_bandwidth_i994,int_bandwidth_i994B,int_bandwidth_i994u,mobile_broad_price_i271mb_ts$,mobile_broad_price_i271mb_ts_GNI,mobile_broad_price_i271mb_ts_PPP,mobile_subs_i271,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers
ARM,0,0,0,0,0,0,0,0,9,0,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AZE,0,0,0,0,3,0,0,0,9,0,3,3,6,0,0,0,3,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0
BEL,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
BGR,0,0,0,0,0,0,0,0,9,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
BLR,0,0,0,0,3,0,0,0,9,0,3,3,6,0,0,0,6,0,1,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,11,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CZE,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DEU,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DNK,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ESP,0,0,0,0,0,0,6,6,11,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
EST,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FIN,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FRA,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
GEO,0,0,0,0,2,0,0,0,11,0,3,3,5,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0
GRC,0,0,0,0,0,0,0,0,11,0,3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
HRV,0,0,0,0,0,0,1,1,11,1,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
HUN,0,0,0,0,0,0,6,6,11,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
IRL,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ITA,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
LTU,0,0,0,0,0,0,0,0,9,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
LUX,0,0,0,0,0,0,6,6,11,6,3,3,3,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
LVA,0,0,0,0,0,0,6,6,9,6,3,3,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
MDA,0,0,0,0,0,0,0,0,11,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MLT,0,0,0,0,0,0,6,6,11,6,3,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NLD,0,0,0,0,0,0,6,6,11,6,3,3,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
POL,0,0,0,0,0,0,6,6,11,6,3,3,3,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
PRT,0,0,0,0,0,0,3,3,13,3,3,3,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ROU,0,0,0,1,0,0,6,6,11,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SVK,0,0,0,0,0,0,0,0,9,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
SVN,0,0,0,0,0,0,0,0,11,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SWE,0,0,0,0,0,0,6,6,11,6,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
UKR,0,0,0,0,0,0,6,6,11,6,5,5,5,0,0,0,10,2,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,2
