,Missing Count,Missing Percentage,Total Observations,Available Observations
int_bandwidth_i994B,331,71.65,462,131
int_bandwidth_i4214,124,26.84,462,338
int_bandwidth_i994u,124,26.84,462,338
int_bandwidth_i994,124,26.84,462,338
mobile_broad_price_i271mb_ts_GNI,101,21.86,462,361
education_secondary_pct,36,7.79,462,426
ict_goods_exports,34,7.36,462,428
research_development_expenditure,30,6.49,462,432
labor_force_advanced_education,28,6.06,462,434
education_tertiary_pct,19,4.11,462,443
high_tech_exports,3,0.65,462,459
wage_salaried_workers,2,0.43,462,460
electric_power_consumption,2,0.43,462,460
fixed_broad_price_i154_FBB_ts_GNI,1,0.22,462,461
