Variable,Missing,Pct
int_bandwidth_i994B,331,71.6
int_bandwidth_i994,124,26.8
int_bandwidth_i4214,124,26.8
int_bandwidth_i994u,124,26.8
mobile_broad_price_i271mb_ts_PPP,109,23.6
mobile_broad_price_i271mb_ts_GNI,101,21.9
mobile_broad_price_i271mb_ts$,101,21.9
education_secondary_pct,36,7.8
ict_goods_exports,34,7.4
research_development_expenditure,30,6.5
labor_force_advanced_education,28,6.1
education_tertiary_pct,19,4.1
fixed_broad_price_i154_FBB_ts_PPP,8,1.7
high_tech_exports,3,0.6
electric_power_consumption,2,0.4
wage_salaried_workers,2,0.4
fixed_broad_price_i154_FBB_ts_GNI,1,0.2
